,lipid,fc,p,pnd1,pnd2
111,TAG(51:0/FA17:0)+NH4,0.7817800060649538,0.5204001667769749,30,60
112,TAG(51:2/FA16:1)+NH4,1.0216967816313445,0.9615712342315721,30,60
113,TAG(51:3/FA18:2)+NH4,0.42012880218640125,0.15089158184213194,30,60
114,TAG(51:4/FA18:2)+NH4,0.7456469970455104,0.7343890029587395,30,60
115,TAG(51:4/FA18:3)+NH4,0.8527500591959308,0.7329499096275595,30,60
116,TAG(52:0/FA20:0)+NH4,1.045726663424231,0.8702614510253608,30,60
117,TAG(52:1/FA16:0)+NH4,1.2798625731015283,0.7534981486903398,30,60
118,TAG(52:1/FA18:1)+NH4,0.28058620303918946,0.10078783238997774,30,60
119,TAG(52:1/FA20:0)+NH4,0.84955848791648,0.6892092963130381,30,60
120,TAG(52:2/FA16:0)+NH4,1.1249528994320466,0.7898259946633694,30,60
121,TAG(52:2/FA18:1)+NH4,0.6525172092714638,0.17531158945373335,30,60
122,TAG(52:2/FA18:2)+NH4,0.9500399730287031,0.8906525485918729,30,60
123,TAG(52:3/FA16:0)+NH4,0.8018606173172425,0.6702330272031323,30,60
124,TAG(52:3/FA16:1)+NH4,0.7902271603800891,0.7527158990080915,30,60
125,TAG(52:3/FA18:1)+NH4,0.8794717306757173,0.8021206058744152,30,60
126,TAG(52:3/FA18:2)+NH4,0.7415570915684017,0.5967205173553314,30,60
127,TAG(52:4/FA14:0)+NH4,1.0409753203953414,0.9374680944887892,30,60
128,TAG(52:4/FA16:0)+NH4,0.9473182862158525,0.8932122058887572,30,60
129,TAG(52:4/FA16:1)+NH4,0.4158261968036917,0.25131403787425266,30,60
130,TAG(52:4/FA18:1)+NH4,0.3128850927559762,0.15780589335751327,30,60
131,TAG(52:4/FA18:2)+NH4,0.6184001519217703,0.4416244247940275,30,60
132,TAG(52:4/FA18:3)+NH4,0.6098567950802213,0.5103714477273487,30,60
133,TAG(52:4/FA20:3)+NH4,0.7503391892483171,0.6369681532124823,30,60
134,TAG(52:4/FA20:4)+NH4,0.8732893268553101,0.5745210659318829,30,60
135,TAG(52:5/FA14:0)+NH4,1.3754791553285792,0.5045155733386835,30,60
136,TAG(52:5/FA16:0)+NH4,0.7691422522404842,0.6334426580659531,30,60
137,TAG(52:5/FA16:1)+NH4,0.35114700798771636,0.297004193861176,30,60
138,TAG(52:5/FA18:2)+NH4,0.3767441911808138,0.231777908543458,30,60
139,TAG(52:5/FA18:3)+NH4,0.8471983374156511,0.8036290844729969,30,60
140,TAG(52:5/FA20:4)+NH4,0.7725517277104682,0.4151946503926235,30,60
141,TAG(52:6/FA14:0)+NH4,1.7798211328032933,0.17959852926530445,30,60
142,TAG(52:6/FA16:0)+NH4,1.1334492533854101,0.7560569201080805,30,60
143,TAG(52:6/FA18:2)+NH4,0.43569135729211916,0.2281096132501754,30,60
144,TAG(52:6/FA18:3)+NH4,0.5241736382492752,0.45096174163150937,30,60
145,TAG(52:6/FA20:4)+NH4,0.3374088602341958,0.24736832575388357,30,60
146,TAG(52:6/FA22:6)+NH4,0.6589029353415018,0.2654117628456938,30,60
147,TAG(52:7/FA22:6)+NH4,1.0061674300496148,0.9906536482838962,30,60
148,TAG(53:0/FA16:0)+NH4,0.5864537401365624,0.18154051728803317,30,60
149,TAG(53:1/FA16:0)+NH4,0.5203184515626829,0.34351729834863454,30,60
150,TAG(53:2/FA16:0)+NH4,0.39753214593206826,0.17197760678599278,30,60
151,TAG(53:2/FA17:0)+NH4,0.04572783955582224,,30,60
152,TAG(53:4/FA18:2)+NH4,0.32308362159172005,0.34068794942339475,30,60
153,TAG(54:1/FA20:0)+NH4,0.663113646083585,0.2937630932895354,30,60
154,TAG(54:2/FA18:0)+NH4,0.6169453825655421,0.46528594513442956,30,60
155,TAG(54:2/FA18:1)+NH4,0.46339621579870227,0.14378468357068624,30,60
156,TAG(54:2/FA20:0)+NH4,0.5918270669478467,0.15047717413539863,30,60
157,TAG(54:2/FA20:1)+NH4,1.398798674244929,0.6930465432050765,30,60
158,TAG(54:3/FA18:0)+NH4,1.3448464956666168,0.604333014700274,30,60
159,TAG(54:4/FA18:0)+NH4,0.5251330776619946,0.5227651994403493,30,60
160,TAG(54:4/FA18:1)+NH4,0.5379187590143991,0.34445102405583616,30,60
